fy.year,age_range_description,ageWise_salary_percentile,AverageWage
2015-16,50 to 54,88,118863.36
2015-16,50 to 54,89,122741.32
2015-16,50 to 54,90,127566.3
2015-16,50 to 54,91,132536.08
2015-16,50 to 54,92,137959.78
2015-16,50 to 54,93,144497.55
2015-16,50 to 54,94,152902.5
2015-16,50 to 54,95,162775.23
2015-16,50 to 54,96,175195.95
2015-16,50 to 54,97,194016.41
2015-16,50 to 54,98,224461.92
2015-16,50 to 54,99,315322
2015-16,50 to 54,100,491716.61
2015-16,55 to 59,1,526.96
2015-16,55 to 59,2,1796.66
2015-16,55 to 59,3,3421.28
2015-16,55 to 59,4,5152.89
2015-16,55 to 59,5,7130.94
2015-16,55 to 59,6,9076.89
2015-16,55 to 59,7,10726.93
2015-16,55 to 59,8,12350.98
2015-16,55 to 59,9,13912.59
2015-16,55 to 59,10,15481.06
2015-16,55 to 59,11,16749.98
2015-16,55 to 59,12,18054.25
2015-16,55 to 59,13,19271.88
2015-16,55 to 59,14,20373.52
2015-16,55 to 59,15,21478.49
2015-16,55 to 59,16,22534.25
2015-16,55 to 59,17,23640.21
2015-16,55 to 59,18,24751.44
2015-16,55 to 59,19,25850.39
2015-16,55 to 59,20,26912.15
2015-16,55 to 59,21,27925.04
2015-16,55 to 59,22,28982.62
2015-16,55 to 59,23,30048.25
2015-16,55 to 59,24,31056.88
2015-16,55 to 59,25,32011.67
2015-16,55 to 59,26,32921.3
2015-16,55 to 59,27,33795.62
2015-16,55 to 59,28,34776.84
2015-16,55 to 59,29,35665.47
2015-16,55 to 59,30,36522.41
2015-16,55 to 59,31,37393.83
2015-16,55 to 59,32,38169.29
2015-16,55 to 59,33,38974.36
2015-16,55 to 59,34,39763.38
2015-16,55 to 59,35,40534.29
2015-16,55 to 59,36,41405.2
2015-16,55 to 59,37,42220.83
2015-16,55 to 59,38,43086.15
2015-16,55 to 59,39,43847.85
2015-16,55 to 59,40,44685.72
2015-16,55 to 59,41,45526.93
2015-16,55 to 59,42,46326.73
2015-16,55 to 59,43,47113.04
2015-16,55 to 59,44,47953.55
2015-16,55 to 59,45,48804.06
2015-16,55 to 59,46,49628.15
2015-16,55 to 59,47,50584.03
2015-16,55 to 59,48,51435.91
2015-16,55 to 59,49,52332.5
2015-16,55 to 59,50,53222.17
2015-16,55 to 59,51,54181.34
2015-16,55 to 59,52,55115.71
2015-16,55 to 59,53,55956.93
2015-16,55 to 59,54,56954.55
2015-16,55 to 59,55,57938.03
2015-16,55 to 59,56,58990.96
2015-16,55 to 59,57,59993.59
2015-16,55 to 59,58,61028.62
2015-16,55 to 59,59,62109.47
2015-16,55 to 59,60,63217.58
2015-16,55 to 59,61,64342.13
2015-16,55 to 59,62,65470.32
2015-16,55 to 59,63,66572.33
2015-16,55 to 59,64,67754.38
2015-16,55 to 59,65,68831.43
2015-16,55 to 59,66,70060.06
2015-16,55 to 59,67,71289.02
2015-16,55 to 59,68,72624.11
2015-16,55 to 59,69,73793.27
2015-16,55 to 59,70,75090.25
2015-16,55 to 59,71,76516.2
2015-16,55 to 59,72,77928.48
2015-16,55 to 59,73,79347.06
2015-16,55 to 59,74,80835.47
2015-16,55 to 59,75,82529.46
2015-16,55 to 59,76,84168.31
2015-16,55 to 59,77,85905.03
2015-16,55 to 59,78,87689.1
2015-16,55 to 59,79,89412.63
2015-16,55 to 59,80,91337.73
2015-16,55 to 59,81,93249.07
2015-16,55 to 59,82,95122.38
2015-16,55 to 59,83,97414.93
2015-16,55 to 59,84,99764.11
2015-16,55 to 59,85,102348.51
2015-16,55 to 59,86,104841.19
2015-16,55 to 59,87,107408.51
2015-16,55 to 59,88,110192.86
2015-16,55 to 59,89,113740.41
2015-16,55 to 59,90,117340.99
2015-16,55 to 59,91,121686.05
2015-16,55 to 59,92,127252.17
2015-16,55 to 59,93,133235.51
2015-16,55 to 59,94,140393.02
2015-16,55 to 59,95,148733.26
2015-16,55 to 59,96,159946.17
2015-16,55 to 59,97,176564.04
2015-16,55 to 59,98,200975.95
2015-16,55 to 59,99,278221.38
2015-16,55 to 59,100,451792.1
2015-16,60 to 64,1,525.85
2015-16,60 to 64,2,908.06
2015-16,60 to 64,3,2123.37
2015-16,60 to 64,4,3272.62
2015-16,60 to 64,5,4388.33
2015-16,60 to 64,6,5248.92
2015-16,60 to 64,7,6258.54
2015-16,60 to 64,8,7421.05
2015-16,60 to 64,9,8765.29
2015-16,60 to 64,10,9882.55
2015-16,60 to 64,11,11000.92
2015-16,60 to 64,12,12193.06
2015-16,60 to 64,13,13397.78
2015-16,60 to 64,14,14505.2
2015-16,60 to 64,15,15806.55
2015-16,60 to 64,16,16909.65
2015-16,60 to 64,17,17909.38
2015-16,60 to 64,18,18820.65
2015-16,60 to 64,19,19809.29
2015-16,60 to 64,20,20793.31
2015-16,60 to 64,21,21717.54
2015-16,60 to 64,22,22692.6
2015-16,60 to 64,23,23763.88
2015-16,60 to 64,24,24676.27
2015-16,60 to 64,25,25558.14
2015-16,60 to 64,26,26329.77
2015-16,60 to 64,27,27154.18
2015-16,60 to 64,28,27947.2
2015-16,60 to 64,29,28741.96
2015-16,60 to 64,30,29794.56
2015-16,60 to 64,31,30852.61
2015-16,60 to 64,32,31676.73
2015-16,60 to 64,33,32463.64
2015-16,60 to 64,34,33361.41
2015-16,60 to 64,35,34301.33
2015-16,60 to 64,36,35138.84
2015-16,60 to 64,37,35941.56
2015-16,60 to 64,38,36779.89
2015-16,60 to 64,39,37610.56
2015-16,60 to 64,40,38538.88
2015-16,60 to 64,41,39281.1
2015-16,60 to 64,42,40061.98
2015-16,60 to 64,43,40882.35
2015-16,60 to 64,44,41713.06
2015-16,60 to 64,45,42390.75
2015-16,60 to 64,46,43131.86
2015-16,60 to 64,47,43944.54
2015-16,60 to 64,48,44705.64
2015-16,60 to 64,49,45461.08
2015-16,60 to 64,50,46246.08
2015-16,60 to 64,51,47066.94
2015-16,60 to 64,52,47926.35
2015-16,60 to 64,53,48731.14
2015-16,60 to 64,54,49549.33
2015-16,60 to 64,55,50525.87
2015-16,60 to 64,56,51408.72
2015-16,60 to 64,57,52389.17
2015-16,60 to 64,58,53245.53
2015-16,60 to 64,59,54189.75
2015-16,60 to 64,60,55095.4
2015-16,60 to 64,61,56010.54
2015-16,60 to 64,62,57031.26
2015-16,60 to 64,63,58035.61
2015-16,60 to 64,64,59013.96
2015-16,60 to 64,65,59986.33
2015-16,60 to 64,66,61079.7
2015-16,60 to 64,67,62238.92
2015-16,60 to 64,68,63436.49
2015-16,60 to 64,69,64703.65
2015-16,60 to 64,70,65923.39
2015-16,60 to 64,71,67202.8
2015-16,60 to 64,72,68513.91
2015-16,60 to 64,73,69808.49
2015-16,60 to 64,74,71215.57
2015-16,60 to 64,75,72583.29
2015-16,60 to 64,76,74091.68
2015-16,60 to 64,77,75580.27
2015-16,60 to 64,78,77013.53
2015-16,60 to 64,79,78716.31
2015-16,60 to 64,80,80594.22
2015-16,60 to 64,81,82393.45
2015-16,60 to 64,82,84350.53
2015-16,60 to 64,83,86442.86
2015-16,60 to 64,84,88489.6
2015-16,60 to 64,85,90522.24
2015-16,60 to 64,86,92768.34
2015-16,60 to 64,87,95405.8
2015-16,60 to 64,88,97953.77
2015-16,60 to 64,89,101133.93
2015-16,60 to 64,90,104405.03
2015-16,60 to 64,91,108160.88
2015-16,60 to 64,92,112340.88
2015-16,60 to 64,93,118120.85
2015-16,60 to 64,94,124229.28
2015-16,60 to 64,95,132144.31
2015-16,60 to 64,96,142444.36
2015-16,60 to 64,97,156340.57
2015-16,60 to 64,98,177126.28
2015-16,60 to 64,99,225855.61
2015-16,60 to 64,100,388395.04
2015-16,65 to 69,1,526
2015-16,65 to 69,2,526
2015-16,65 to 69,3,833.54
2015-16,65 to 69,4,1324.04
2015-16,65 to 69,5,1772.11
2015-16,65 to 69,6,2211.93
2015-16,65 to 69,7,2833.86
2015-16,65 to 69,8,3432.5
2015-16,65 to 69,9,4088.07
2015-16,65 to 69,10,4635.5
2015-16,65 to 69,11,5146.54
2015-16,65 to 69,12,5788.91
2015-16,65 to 69,13,6515.98
2015-16,65 to 69,14,7075.18
2015-16,65 to 69,15,7753.29
2015-16,65 to 69,16,8412.21
2015-16,65 to 69,17,9149.66
2015-16,65 to 69,18,9916.29
2015-16,65 to 69,19,10662.3
2015-16,65 to 69,20,11214.12
2015-16,65 to 69,21,11837.82
2015-16,65 to 69,22,12515.07
2015-16,65 to 69,23,13192.09
2015-16,65 to 69,24,13923.61
2015-16,65 to 69,25,14729.68
2015-16,65 to 69,26,15545.04
2015-16,65 to 69,27,16214.16
2015-16,65 to 69,28,16860.02
2015-16,65 to 69,29,17523.46
2015-16,65 to 69,30,18159.21
2015-16,65 to 69,31,18919.95
2015-16,65 to 69,32,19585.34
2015-16,65 to 69,33,20282.82
2015-16,65 to 69,34,21081.76
2015-16,65 to 69,35,21820.84
2015-16,65 to 69,36,22533.16
2015-16,65 to 69,37,23189.07
2015-16,65 to 69,38,23881.07
2015-16,65 to 69,39,24669.61
2015-16,65 to 69,40,25307.54
2015-16,65 to 69,41,26085.14
2015-16,65 to 69,42,26909.02
2015-16,65 to 69,43,27672.91
2015-16,65 to 69,44,28441.04
2015-16,65 to 69,45,29177.48
2015-16,65 to 69,46,30065.52
2015-16,65 to 69,47,31035.68
2015-16,65 to 69,48,31957.75
2015-16,65 to 69,49,32753.88
2015-16,65 to 69,50,33524
2015-16,65 to 69,51,34375.91
2015-16,65 to 69,52,35257.29
2015-16,65 to 69,53,36260.3
2015-16,65 to 69,54,37013.32
2015-16,65 to 69,55,38011.04
2015-16,65 to 69,56,38949.77
2015-16,65 to 69,57,39807.54
2015-16,65 to 69,58,40825.66
2015-16,65 to 69,59,41878.89
2015-16,65 to 69,60,42727.38
2015-16,65 to 69,61,43650.55
2015-16,65 to 69,62,44430.54
2015-16,65 to 69,63,45303.7
2015-16,65 to 69,64,46250.11
2015-16,65 to 69,65,47225.3
2015-16,65 to 69,66,48160.18
2015-16,65 to 69,67,49289.84
2015-16,65 to 69,68,50222.41
2015-16,65 to 69,69,51162.29
2015-16,65 to 69,70,52280.73
2015-16,65 to 69,71,53543.89
2015-16,65 to 69,72,55004.38
2015-16,65 to 69,73,56526.16
2015-16,65 to 69,74,58015.36
2015-16,65 to 69,75,59043.68
2015-16,65 to 69,76,60449.91
2015-16,65 to 69,77,62061.34
2015-16,65 to 69,78,63456.32
2015-16,65 to 69,79,64741.7
2015-16,65 to 69,80,66023.18
2015-16,65 to 69,81,67404.46
2015-16,65 to 69,82,69702.41
2015-16,65 to 69,83,71730.61
2015-16,65 to 69,84,73652.96
2015-16,65 to 69,85,75720.29
2015-16,65 to 69,86,78060.98
2015-16,65 to 69,87,80394.11
2015-16,65 to 69,88,83017.32
2015-16,65 to 69,89,86196.2
2015-16,65 to 69,90,89073.96
2015-16,65 to 69,91,92199.38
2015-16,65 to 69,92,95825.39
2015-16,65 to 69,93,99865.09
2015-16,65 to 69,94,105496.84
2015-16,65 to 69,95,112731.18
2015-16,65 to 69,96,123835.68
2015-16,65 to 69,97,138394.98
2015-16,65 to 69,98,156284.62
2015-16,65 to 69,99,186289.93
2015-16,65 to 69,100,355772.31
2015-16,70 and over,1,526
2015-16,70 and over,2,526
2015-16,70 and over,3,526
2015-16,70 and over,4,526
2015-16,70 and over,5,526
2015-16,70 and over,6,740.43
2015-16,70 and over,7,1137.91
2015-16,70 and over,8,1360.64
2015-16,70 and over,9,1627.14
2015-16,70 and over,10,2022.41
2015-16,70 and over,11,2307.55
2015-16,70 and over,12,2615.71
2015-16,70 and over,13,2966.14
2015-16,70 and over,14,3476.62
2015-16,70 and over,15,3738.73
2015-16,70 and over,16,3962.18
2015-16,70 and over,17,4240.29
2015-16,70 and over,18,4488.86
2015-16,70 and over,19,4756.86
2015-16,70 and over,20,5101.57
2015-16,70 and over,21,5330.95
2015-16,70 and over,22,5587
2015-16,70 and over,23,5902.05
2015-16,70 and over,24,6274.32
2015-16,70 and over,25,6755.9
2015-16,70 and over,26,7142.59
2015-16,70 and over,27,7504.86
2015-16,70 and over,28,7911.62
2015-16,70 and over,29,8565.68
2015-16,70 and over,30,9167.23
2015-16,70 and over,31,9561.19
2015-16,70 and over,32,10051.95
2015-16,70 and over,33,10563.86
2015-16,70 and over,34,11022.43
2015-16,70 and over,35,11532.5
2015-16,70 and over,36,12029
2015-16,70 and over,37,12512.9
2015-16,70 and over,38,13000.64
2015-16,70 and over,39,13522
2015-16,70 and over,40,13817.5
2015-16,70 and over,41,14176.73
2015-16,70 and over,42,14643
2015-16,70 and over,43,15110.68
2015-16,70 and over,44,15765.23
2015-16,70 and over,45,16173.19
2015-16,70 and over,46,16641.82
2015-16,70 and over,47,17313.86
2015-16,70 and over,48,17788.81
2015-16,70 and over,49,18314.86
2015-16,70 and over,50,18968.57
2015-16,70 and over,51,19415.09
2015-16,70 and over,52,19972.23
2015-16,70 and over,53,20820
2015-16,70 and over,54,21429.14
2015-16,70 and over,55,21971.95
2015-16,70 and over,56,22783.48
2015-16,70 and over,57,23511.91
2015-16,70 and over,58,24096.55
2015-16,70 and over,59,24830.38
2015-16,70 and over,60,25691.55
2015-16,70 and over,61,26413.73
2015-16,70 and over,62,27252.86
2015-16,70 and over,63,27987.82
2015-16,70 and over,64,28786.38
2015-16,70 and over,65,29900.59
2015-16,70 and over,66,30927.45
2015-16,70 and over,67,32081.67
2015-16,70 and over,68,32931.18
2015-16,70 and over,69,33905.82
2015-16,70 and over,70,35021.71
2015-16,70 and over,71,36123.82
2015-16,70 and over,72,37166.09
2015-16,70 and over,73,38293.38
2015-16,70 and over,74,39936.05
2015-16,70 and over,75,41473.95
2015-16,70 and over,76,42578.41
2015-16,70 and over,77,43965.5
2015-16,70 and over,78,45347.29
2015-16,70 and over,79,47006.09
2015-16,70 and over,80,49037.64
2015-16,70 and over,81,50471.76
2015-16,70 and over,82,51996.95
2015-16,70 and over,83,53648.32
2015-16,70 and over,84,56197
2015-16,70 and over,85,58513.05
2015-16,70 and over,86,61062.55
2015-16,70 and over,87,64462.05
2015-16,70 and over,88,67614.55
2015-16,70 and over,89,70390.38
2015-16,70 and over,90,74775.5
2015-16,70 and over,91,78202.23
2015-16,70 and over,92,81328.19
2015-16,70 and over,93,84971.68
2015-16,70 and over,94,88492.27
2015-16,70 and over,95,93239.14
2015-16,70 and over,96,100558.91
2015-16,70 and over,97,112631.45
2015-16,70 and over,98,129867.67
2015-16,70 and over,99,163436.5
2015-16,70 and over,100,321924.57
2014-15,under 20,1,524
2014-15,under 20,2,524
2014-15,under 20,3,524
2014-15,under 20,4,981.99
2014-15,under 20,5,1313.38
2014-15,under 20,6,1565.44
2014-15,under 20,7,1825.28
2014-15,under 20,8,2107.56
2014-15,under 20,9,2375.47
2014-15,under 20,10,2614.84
2014-15,under 20,11,2839.95
2014-15,under 20,12,3078.38
2014-15,under 20,13,3295.7
2014-15,under 20,14,3522.94
2014-15,under 20,15,3754.43
2014-15,under 20,16,3994.53
2014-15,under 20,17,4274.1
2014-15,under 20,18,4504.82
2014-15,under 20,19,4728.5
2014-15,under 20,20,4927.96
2014-15,under 20,21,5148.57
2014-15,under 20,22,5355.18
2014-15,under 20,23,5560.85
2014-15,under 20,24,5784.68
2014-15,under 20,25,6010.74
2014-15,under 20,26,6205.3
2014-15,under 20,27,6414.82
2014-15,under 20,28,6678.41
2014-15,under 20,29,6926.84
2014-15,under 20,30,7181.44
2014-15,under 20,31,7429.26
2014-15,under 20,32,7644.95
2014-15,under 20,33,7827.85
2014-15,under 20,34,8059.97
2014-15,under 20,35,8284.71
2014-15,under 20,36,8515.45
2014-15,under 20,37,8749.25
2014-15,under 20,38,9003.01
2014-15,under 20,39,9245.95
2014-15,under 20,40,9524.65
2014-15,under 20,41,9767.8
2014-15,under 20,42,10044.23
2014-15,under 20,43,10275.24
2014-15,under 20,44,10517.86
2014-15,under 20,45,10768.78
2014-15,under 20,46,11036.81
2014-15,under 20,47,11259.91
2014-15,under 20,48,11498.25
2014-15,under 20,49,11802.1
2014-15,under 20,50,12056.46
2014-15,under 20,51,12355.49
2014-15,under 20,52,12610.94
2014-15,under 20,53,12875.86
2014-15,under 20,54,13159.73
2014-15,under 20,55,13472.42
2014-15,under 20,56,13754.03
2014-15,under 20,57,14060.29
2014-15,under 20,58,14343.2
2014-15,under 20,59,14659.69
2014-15,under 20,60,15005.94
2014-15,under 20,61,15331.41
2014-15,under 20,62,15655.91
2014-15,under 20,63,15988.5
2014-15,under 20,64,16327.66
2014-15,under 20,65,16652.2
2014-15,under 20,66,16997.38
2014-15,under 20,67,17314.71
2014-15,under 20,68,17729.62
2014-15,under 20,69,18152.08
2014-15,under 20,70,18529.25
2014-15,under 20,71,18947.26
2014-15,under 20,72,19376.46
2014-15,under 20,73,19763.38
2014-15,under 20,74,20147.86
2014-15,under 20,75,20671.94
2014-15,under 20,76,21213.49
2014-15,under 20,77,21686.51
2014-15,under 20,78,22131.86
2014-15,under 20,79,22643.9
2014-15,under 20,80,23118.86
2014-15,under 20,81,23677.89
2014-15,under 20,82,24286.79
2014-15,under 20,83,24909.55
2014-15,under 20,84,25565.99
2014-15,under 20,85,26219.44
2014-15,under 20,86,26837.3
2014-15,under 20,87,27619.85
2014-15,under 20,88,28476.76
2014-15,under 20,89,29273.61
2014-15,under 20,90,30240.94
2014-15,under 20,91,31405.38
2014-15,under 20,92,32528.49
2014-15,under 20,93,33933.84
2014-15,under 20,94,35568.26
2014-15,under 20,95,37416.47
2014-15,under 20,96,39607.93
2014-15,under 20,97,42042.5
2014-15,under 20,98,45627.97
2014-15,under 20,99,51787.57
2014-15,under 20,100,70007.59
2014-15,20 to 24,1,522.88
2014-15,20 to 24,2,1266.45
2014-15,20 to 24,3,2115.92
2014-15,20 to 24,4,2848.06
2014-15,20 to 24,5,3500.56
2014-15,20 to 24,6,4148.5
2014-15,20 to 24,7,4826.33
2014-15,20 to 24,8,5431.49
2014-15,20 to 24,9,6091.61
2014-15,20 to 24,10,6748.19
2014-15,20 to 24,11,7377.94
2014-15,20 to 24,12,7946.99
2014-15,20 to 24,13,8538.6
2014-15,20 to 24,14,9137.88
2014-15,20 to 24,15,9692.81
2014-15,20 to 24,16,10265.83
2014-15,20 to 24,17,10846.03
2014-15,20 to 24,18,11355.6
2014-15,20 to 24,19,11893.94
2014-15,20 to 24,20,12428.84
2014-15,20 to 24,21,12996.47
2014-15,20 to 24,22,13564.03
2014-15,20 to 24,23,14148.53
2014-15,20 to 24,24,14669.14
2014-15,20 to 24,25,15172.97
2014-15,20 to 24,26,15709.43
2014-15,20 to 24,27,16244.71
2014-15,20 to 24,28,16727.91
2014-15,20 to 24,29,17208.72
2014-15,20 to 24,30,17735.6
2014-15,20 to 24,31,18328.83
2014-15,20 to 24,32,18844.48
2014-15,20 to 24,33,19361.2
2014-15,20 to 24,34,19926.28
2014-15,20 to 24,35,20418.11
2014-15,20 to 24,36,20915.68
2014-15,20 to 24,37,21415
2014-15,20 to 24,38,21937.41
2014-15,20 to 24,39,22435.49
2014-15,20 to 24,40,22905.62
2014-15,20 to 24,41,23434.5
2014-15,20 to 24,42,23967.4
2014-15,20 to 24,43,24525.53
2014-15,20 to 24,44,25050.73
2014-15,20 to 24,45,25561.11
2014-15,20 to 24,46,26086.64
2014-15,20 to 24,47,26663.21
2014-15,20 to 24,48,27285.67
2014-15,20 to 24,49,27882.35
2014-15,20 to 24,50,28447.17
2014-15,20 to 24,51,29042.98
2014-15,20 to 24,52,29662.66
2014-15,20 to 24,53,30235.06
2014-15,20 to 24,54,30801.61
2014-15,20 to 24,55,31421.44
2014-15,20 to 24,56,31994.83
2014-15,20 to 24,57,32582
2014-15,20 to 24,58,33144.59
2014-15,20 to 24,59,33717.53
2014-15,20 to 24,60,34356.69
2014-15,20 to 24,61,34936.55
2014-15,20 to 24,62,35554.52
2014-15,20 to 24,63,36151.61
2014-15,20 to 24,64,36735.94
2014-15,20 to 24,65,37328.3
2014-15,20 to 24,66,37854.89
2014-15,20 to 24,67,38408.78
2014-15,20 to 24,68,38963.63
2014-15,20 to 24,69,39541.17
2014-15,20 to 24,70,40123.23
2014-15,20 to 24,71,40730.25
2014-15,20 to 24,72,41421.95
2014-15,20 to 24,73,42077.6
2014-15,20 to 24,74,42803.99
2014-15,20 to 24,75,43479.89
2014-15,20 to 24,76,44118.05
2014-15,20 to 24,77,44779.81
2014-15,20 to 24,78,45530.44
2014-15,20 to 24,79,46281.89
2014-15,20 to 24,80,47080.61
2014-15,20 to 24,81,47838.05
2014-15,20 to 24,82,48638.49
2014-15,20 to 24,83,49469.94
2014-15,20 to 24,84,50402.67
2014-15,20 to 24,85,51403.96
2014-15,20 to 24,86,52588.91
2014-15,20 to 24,87,53743.14
2014-15,20 to 24,88,54980.8
2014-15,20 to 24,89,56236.56
2014-15,20 to 24,90,57747.37
2014-15,20 to 24,91,59274.82
2014-15,20 to 24,92,60939.56
2014-15,20 to 24,93,62963.28
2014-15,20 to 24,94,65271.07
2014-15,20 to 24,95,68067.34
2014-15,20 to 24,96,71412.67
2014-15,20 to 24,97,75750.35
2014-15,20 to 24,98,81411.96
2014-15,20 to 24,99,92719.8
2014-15,20 to 24,100,134567.94
2014-15,25 to 29,1,663.44
2014-15,25 to 29,2,1842.51
2014-15,25 to 29,3,3006.11
2014-15,25 to 29,4,4073.84
2014-15,25 to 29,5,5127.97
2014-15,25 to 29,6,6120.43
2014-15,25 to 29,7,7134.05
2014-15,25 to 29,8,8281.09
2014-15,25 to 29,9,9417.59
2014-15,25 to 29,10,10471.58
2014-15,25 to 29,11,11343.89
2014-15,25 to 29,12,12317.06
2014-15,25 to 29,13,13401.34
2014-15,25 to 29,14,14376.3
2014-15,25 to 29,15,15327.79
2014-15,25 to 29,16,16327.79
2014-15,25 to 29,17,17285.85
2014-15,25 to 29,18,18268.89
2014-15,25 to 29,19,19237.85
2014-15,25 to 29,20,20129.27
2014-15,25 to 29,21,21025.33
2014-15,25 to 29,22,21935.91
2014-15,25 to 29,23,22879.16
2014-15,25 to 29,24,23837.36
2014-15,25 to 29,25,24778.9
2014-15,25 to 29,26,25776.32
2014-15,25 to 29,27,26851.32
2014-15,25 to 29,28,27875.93
2014-15,25 to 29,29,28908.57
2014-15,25 to 29,30,29932.47
2014-15,25 to 29,31,30831.09
2014-15,25 to 29,32,31731.08
2014-15,25 to 29,33,32607.26
2014-15,25 to 29,34,33519.64
2014-15,25 to 29,35,34401.29
2014-15,25 to 29,36,35249.07
2014-15,25 to 29,37,36059.18
2014-15,25 to 29,38,36844.06
2014-15,25 to 29,39,37711.4
2014-15,25 to 29,40,38530.32
2014-15,25 to 29,41,39260.37
2014-15,25 to 29,42,39984.21
2014-15,25 to 29,43,40735.5
2014-15,25 to 29,44,41467.35
2014-15,25 to 29,45,42188.53
2014-15,25 to 29,46,42879.65
2014-15,25 to 29,47,43551.24
2014-15,25 to 29,48,44267.43
2014-15,25 to 29,49,45014.68
2014-15,25 to 29,50,45789.14
2014-15,25 to 29,51,46454.68
2014-15,25 to 29,52,47152.77
2014-15,25 to 29,53,47893.62
2014-15,25 to 29,54,48600.63
2014-15,25 to 29,55,49297.38
2014-15,25 to 29,56,50021.1
2014-15,25 to 29,57,50696.72
2014-15,25 to 29,58,51376.08
2014-15,25 to 29,59,52041.72
2014-15,25 to 29,60,52777.77
2014-15,25 to 29,61,53528.28
2014-15,25 to 29,62,54265.29
2014-15,25 to 29,63,55022.17
2014-15,25 to 29,64,55752.79
2014-15,25 to 29,65,56579.99
2014-15,25 to 29,66,57413.77
2014-15,25 to 29,67,58268.82
2014-15,25 to 29,68,59042.27
2014-15,25 to 29,69,59923.54
2014-15,25 to 29,70,60886.84
2014-15,25 to 29,71,61784.15
2014-15,25 to 29,72,62753.83
2014-15,25 to 29,73,63675.31
2014-15,25 to 29,74,64591.39
2014-15,25 to 29,75,65604.81
2014-15,25 to 29,76,66612.32
2014-15,25 to 29,77,67569.86
2014-15,25 to 29,78,68571.17
2014-15,25 to 29,79,69580.8
2014-15,25 to 29,80,70724.48
2014-15,25 to 29,81,71829
2014-15,25 to 29,82,73048.11
2014-15,25 to 29,83,74352.61
2014-15,25 to 29,84,75688.65
2014-15,25 to 29,85,77188.39
2014-15,25 to 29,86,78809.07
2014-15,25 to 29,87,80371.9
2014-15,25 to 29,88,82129.74
2014-15,25 to 29,89,84031.85
2014-15,25 to 29,90,86097.49
2014-15,25 to 29,91,88445.6
2014-15,25 to 29,92,91343.69
2014-15,25 to 29,93,94493.06
2014-15,25 to 29,94,98518.25
2014-15,25 to 29,95,103226.32
2014-15,25 to 29,96,109325.99
2014-15,25 to 29,97,117467.99
2014-15,25 to 29,98,127691.2
2014-15,25 to 29,99,144539.61
2014-15,25 to 29,100,198826.92
2014-15,30 to 34,1,708.06
2014-15,30 to 34,2,1895.43
2014-15,30 to 34,3,3289.94
2014-15,30 to 34,4,4818.95
2014-15,30 to 34,5,6137.64
2014-15,30 to 34,6,7601.13
2014-15,30 to 34,7,8975.78
2014-15,30 to 34,8,10319.14
2014-15,30 to 34,9,11706.7
2014-15,30 to 34,10,12858
2014-15,30 to 34,11,14243.55
2014-15,30 to 34,12,15511.76
2014-15,30 to 34,13,16736.76
2014-15,30 to 34,14,17944.67
2014-15,30 to 34,15,19086.83
2014-15,30 to 34,16,20292.64
2014-15,30 to 34,17,21488.75
2014-15,30 to 34,18,22652.84
2014-15,30 to 34,19,23846.54
2014-15,30 to 34,20,24931.57
2014-15,30 to 34,21,26134.11
2014-15,30 to 34,22,27280.85
2014-15,30 to 34,23,28386.56
2014-15,30 to 34,24,29508.54
2014-15,30 to 34,25,30661.27
2014-15,30 to 34,26,31721.56
2014-15,30 to 34,27,32801.51
2014-15,30 to 34,28,33902.16
2014-15,30 to 34,29,34965.93
2014-15,30 to 34,30,36016.9
2014-15,30 to 34,31,37155.18
2014-15,30 to 34,32,38181.02
2014-15,30 to 34,33,39173.77
2014-15,30 to 34,34,40105.16
2014-15,30 to 34,35,41021.93
2014-15,30 to 34,36,41920.44
2014-15,30 to 34,37,42880.1
2014-15,30 to 34,38,43826.95
2014-15,30 to 34,39,44702.75
2014-15,30 to 34,40,45517.15
2014-15,30 to 34,41,46255.38
2014-15,30 to 34,42,47059.84
2014-15,30 to 34,43,47872.99
2014-15,30 to 34,44,48648.35
2014-15,30 to 34,45,49455.62
2014-15,30 to 34,46,50316.4
2014-15,30 to 34,47,51198.57
2014-15,30 to 34,48,52072.32
2014-15,30 to 34,49,52914.99
2014-15,30 to 34,50,53797.78
2014-15,30 to 34,51,54652.37
2014-15,30 to 34,52,55480.86
2014-15,30 to 34,53,56351.73
2014-15,30 to 34,54,57198.06
2014-15,30 to 34,55,58041.91
2014-15,30 to 34,56,58859.84
2014-15,30 to 34,57,59839.56
2014-15,30 to 34,58,60767.97
2014-15,30 to 34,59,61660.33
2014-15,30 to 34,60,62645.32
2014-15,30 to 34,61,63676.42
2014-15,30 to 34,62,64705.06
2014-15,30 to 34,63,65765.25
2014-15,30 to 34,64,66811.41
2014-15,30 to 34,65,67866.84
2014-15,30 to 34,66,69023.66
2014-15,30 to 34,67,70077.23
2014-15,30 to 34,68,71126.53
2014-15,30 to 34,69,72164.94
2014-15,30 to 34,70,73292.34
2014-15,30 to 34,71,74451.74
2014-15,30 to 34,72,75587.22
2014-15,30 to 34,73,76789.5
2014-15,30 to 34,74,78036.82
2014-15,30 to 34,75,79255.58
2014-15,30 to 34,76,80468.73
2014-15,30 to 34,77,81899.66
2014-15,30 to 34,78,83427.81
2014-15,30 to 34,79,84829.26
2014-15,30 to 34,80,86236.56
2014-15,30 to 34,81,87798.43
2014-15,30 to 34,82,89482.03
2014-15,30 to 34,83,91152.58
